"NOMBRE";"SEXO";"AÑO DE NACIMIENTO";"G PARLAMENTARIO";"ECIVIL";"NIVEL ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"Campo11";"Campo12";"Campo13";"Campo14";"Campo15";"Campo16";"Campo17";"Campo18";"Campo19"
"Antonio, Roldán Monés";"Hombre";1983,00;"Grupo Ciudadanos";"Casado";"Licenciado en Económicas. Máster en Política Económica (MPA) por la Universidad de Columbia (Nueva York, Estados Unidos). Máster en Relaciones Internacionales por la Universidad de Sussex (Reino Unido). ";"Barcelona";;;"Diputado. Miembro de la dirección del grupo parlamentario y portavoz de economía de Ciudadanos. Analista jefe para el sur de Europa en Eurasia Group. Comentarista en medios internacionales. Vocal Suplente de la Diputación Permanente. ";;;;;;;;;
"Carmelo, Romero Hernández";"Hombre";1958,00;"Grupo Popular";"Casado";"Licenciado en Derecho. Funcionario de la Junta de Andalucía.";"Huelva";;;"Diputado. Vicepresidente Segundo de la Comisión de Transición Ecológica desde el 21/06/2018 al 05/03/2019. ";;;;;;;;;
"María Eugenia, Romero Rodríguez";"Mujer";1970,00;"Grupo Popular";"Casada";"Licenciada en Derecho por la Facultad de Sevilla. Cursos doctorado Mercantil en la Facultad de Derecho de Sevilla. Máster Asesoría Jurídica en el Instituto de Estudios Jurídicos Cajasol. ";"Sevilla";;;"Diputada. Vicesecretaria de Economía y Empleo del PP de Sevilla. Coordinadora de organizaciones sociales del PP Andalucía.  Vicepresidenta Segunda de la Comisión de Hacienda desde el 10/09/2018 al 05/03/2019.";;;;;;;;;
"Rosa María, Romero Sánchez";"Mujer";1970,00;"Grupo Popular";"Casada";"Licenciada en Ciencias Políticas y Sociología por la Universidad Complutense de Madrid. ";"Ciudad Real";;;"Diputada. Vicepresidenta de la Mesa del Parlamento de Castilla-La Mancha y portavoz del Grupo Popular en el mismo. Vocal de la Diputación Permanente. Vicepresidenta Tercera del Congreso de los Diputados desde el 19/07/2016 al 05/03/2019. Vicepresidenta Te";;;;;;;;;
"María del Mar, Rominguera Salazar";"Mujer";1966,00;"Grupo Socialista ";"Casada";"Licenciada en Derecho. ";"Zamora";;;"Diputada. Secretaria General de la Agrupación Local de Zamora PSOE. Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";;;;;;;;;
"Gabriel, Rufián i Romero";"Hombre";1982,00;"Grupo Esquerra Republicana";"Soltero";"Diplomatura en Relaciones Laborales (UPF). Máster en Dirección de Recursos Humanos (UPF). ";"Barcelona";;;"Diputado. Miembro Súmate. Ex Secretario ANC. Vocal de la Diputación Permanente. Portavoz de la Comisión de Investigación accidente ferroviario ocurrido en Santiago desde el 24/04/2018 al 05/03/2019.";;;;;;;;;
"Joan, Ruiz i Carbonell";"Hombre";1954,00;"Grupo Socialista";"Casado";"Licenciado en Geografía e Historia. Profesor de primaria. ";"Tarragona";;;"Diputado. Vocal de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";;;;;;;;;
"Luis Carlos, Sahuquillo García";"Hombre";1966,00;"Grupo Socialista";"Divorciado";"Diplomado Universitario en Trabajo Social. Funcionario de la Junta de Comunidades de Castilla- La Mancha. ";"Cuenca";;;"Diputado. Portavoz adjunto de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019. Director General de Servicios Sociales de la Consejería de Bienestar Social de la JCCM de 2001 a 2003.";;;;;;;;;
"María Isabel, Salud Areste";"Mujer";1961,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Funcionaria Administrativa del Ayuntamiento de Eibar.";"Gipuzkoa";;;"Diputada. Coordinadora de Ezker Anitza-IU Euskadi. Portavoz de la Comisión para las Políticas Integrales de la Discapacidad desde el 28/09/2016 al 05/03/2019.";;;;;;;;;
"Carlos Casimiro, Salvador Armendániz";"Hombre";1966,00;"Grupo Mixto UPN-PP";"Casado";"Licenciado en Derecho. ";"Navarra";;;"Diputado. Director Delegación Aón Pamplona. Portavoz de la Comisión de Asuntos Exteriores desde el 13/09/2016 al 05/03/2019.";;;;;;;;;
"Luis Miguel, Salvador García";"Hombre ";1963,00;"Grupo Ciudadanos";"Casado";"Licenciado en Ciencias Políticas y de la Administración.Escritor y analista político. Funcionario de carrera en la Diputación de Granada.";"Granada";;;"Diputado. Portavoz de C's en el Ayuntamiento de Granada.Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Cooperación Internacional para el Desarrollo desde el 14/09/2016 al 05/03/2019.";;;;;;;;;
"Jordi, Salvador i Duch";"Hombre";1964,00;"Grupo Esquerra Republicana";"Divorciado";"Doctor en Antropología Social y Cultural. Licenciado en Geografía e Historia. Diplomado en Maestro EGB. ";"Tarragona";;;"Diputado. Militante UGT. Vocal Suplente de la Diputación Permanente. Portavoz de la Comisión de Seguimiento y Evaluación de los Acuerdos Pacto de Toledo desde el 19/01/2017 al 05/03/2019.";;;;;;;;;
"Tania, Sánchez Melero";"Mujer";1979,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Diplomada en Educación Social. Licenciada en Antropología. Experta laboral en la intervención social con drogodependientes.";"Madrid ";;;"Diputada. Concejala de gobierno en Rivas (2007-2011). Diputada en la Asamblea de Madrid (2011-2015). Vocal de la Comisión de Defensa desde el 13/09/2016 al 05/03/2019.";;;;;;;;;
"Javier, Sánchez Serna";"Hombre";1985,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltero";"Licenciado en Filosofía. Máster en Sociología aplicada. ";"Murcia";;;"Diputado. Miembro del Consejo Ciudadano Estatal de Podemos. Portavoz en la Comisión de Educación y Deporte.Secretario Primero de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";;;;;;;;;
"Alicia, Sánchez-Camacho Pérez";"Mujer";1967,00;"Grupo Popular";"Divorciada";"Licenciada en Derecho. Máster en Administración de Empresas Públicas. ";"Barcelona";;;"Diputada. efa Provincial de Trabajo en Girona. Subdirectora General de Formación Profesional. Directora del Instituto de Seguridad e Higiene en el Trabajo. Trabajadora del Banco de Sabadell. 
Diputada en el Parlament por Girona. Presidenta del Grupo Parla";;;;;;;;;
"María de la Concepción de, Santa Ana Fernández";"Mujer";1973,00;"Grupo Popular";"Divorciada";"Ingeniera de Caminos, Canales y Puertos por la Universidad de Granada. ";"Granada";;;"Diputada. Miembro Titular de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa.";;;;;;;;;
"Eduardo, Santos Itoiz";"Hombre";1973,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltero";"Licenciado en Derecho. Abogado/Mediador. Profesor Asociado Derecho Penal y Penitenciario. Universidad Pública de Navarra. ";"Navarra";;;"Diputado. Parlamentario Foral en Navarra. Portavoz de la Comisión de Justicia desde el 28/07/2017 al 05/03/2019.";;;;;;;;;
"David, Serrada Pariente";"Hombre";1977,00;"Grupo Socialista";"Casado";"Licenciado en Sociología. Máster en Ciencia Política y Derecho Constitucional. Máster en Técnicas Estadísticas Avanzadas. ";"Salamanca";;;"Diputado. Vicesecretario General del PSOE Salamanca. Vocal Suplente de la Diputación Permanente. Miembro de la Delegación española en la Conferencia para la PESC/PCSD.";;;;;;;;;
"María Jesús, Serrano Jiménez";"Mujer";1970,00;"Grupo Socialista";"Separada legalmente";"Licenciada en Derecho.  Máster en Creación y Gestión de Empresas por EOI. Máster en Prevención y Tratamiento de las Conductas Adictivas en el Ámbito Legal. Universidad de Valencia. ";"Córdoba";;;"Diputada. Abogada y técnica de la Mancomunidad del Guadajoz y Campiña Este. Portavoz de la Comisión de Política Territorial y Función Pública desde el 06/07/2018 al 05/03/2019. ";;;;;;;;;
"Marta, Sibina i Camps";"Mujer";1973,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Casada";"Diplomada universitaria en Enfermería. Postgrado en Enfermería Quirúrgica. Postgrado en Enfermería Gerontológica. ";"Girona";;;"Diputada. Activista por la sanidad pública. Fundadora de la revista Cafèambllet. Miembro de la Delegación española en la Conferencia sobre Estabilidad, Coordinación Económica y Gobernanza en la Unión Europea (CECEG).";;;;;;;;;
"Felipe Jesús, Sicilia Alférez";"Hombre";1979,00;"Grupo Socialista";"Casado";"Licenciado en Ciencias Políticas y Sociología. Funcionario del Cuerpo Nacional de Policía. ";"Jaén";;;"Diputado. Secretario de Comunicación, Acción electoral y Programa del PSOE de Jaén. Vocal de la Diputación Permanente. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Vicepresidente de la Delegación española ";;;;;;;;;
"Rafael, Simancas Simancas";"Hombre";1966,00;"Grupo Socialista";"Casado";"Licenciado en Ciencias Políticas y Sociología.  Profesor de Ciencias Políticas. ";"Madrid";;;"Diputado. Miembro del Comité Federal del PSOE. Vocal de la Diputación Permanente. Portavoz adjunto de la Junta de Portavoces desde el 20/06/2017 al 05/03/2019.";;;;;;;;;
"Ricardo, Sixto Iglesias";"Hombre";1967,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Pareja de hecho";"Licenciado en Geografía e Historia.";"Valencia";;;"Diputado. Vocal Suplente de la Diputación Permanente. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1).";;;;;;;;;
"Marta, Sorlí Fresquet";"Mujer";1986,00;"Grupo Mixto C-P-EUPV";"Divorciada";"Diplomatura en Trabajo Social. Máster en Mediación e Intervención Familiar. Máster en Derechos Humanos, Democracia y Justicia Internacional. Cursando grado en derecho.";"Castellón";;;"Diputada. Secretaria Segunda de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019. Portavoz adjunta de la Comisión de Derechos de la Infancia y Adolescencia desde el 28/09/2016 al 05/03/2019.";;;;;;;;;
"Eloy, Suárez Lamata";"Hombre";1962,00;"Grupo Popular";"Casado";"Licenciado en Derecho. Funcionario habilitación nacional.";"Zaragoza";;;"Diputado. Portavoz del Grupo Municipal del PP en el Ayuntamiento de Zaragoza. Vocal Suplente de la Diputación Permanente. ";;;;;;;;;
"Susana, Sumelzo Jordán";"Mujer";1969,00;"Grupo Socialista";"Divorciada";"Licenciada en Derecho. Postgrado  en Desarrollo Económico Local. Vocal de la Diputación Permanente. ";"Zaragoza";;;"Diputada. Vocal de la Diputación Permanente. Portavoz Sustituto de la Junta de Portavoces desde el 19/06/2018 al 05/03/2019. ";;;;;;;;;
"Ana María, Surra i Spadea";"Mujer";1952,00;"Grupo Esquerra Republicana";"Divorciada";"Diplomada. Asistente Social Universitaria. ";"Barcelona";;;"Diputada. Secretaria Segunda de la Comisión de Cooperación Internacional para el Desarrollo desde el 14/09/2016 al 05/03/2019. Portavoz de la Comisión de Cooperación Internacional para el Desarrollo desde el 14/09/2016 al 05/03/2019.Secretaria Segunda de ";;;;;;;;;
"Joan, Tardà i Coma";"Hombre";1953,00;"Grupo Esquerra Republicana";"Soltero";"Licenciado en Filosofía y Letras. Catedrático de Lengua y Literatura Catalanas (Secundaria).";"Barcelona";;;"Diputado. Vocal de la Diputación Permanente. Portavoz Titular de la Junta de Portavoces desde el 02/08/2016 al 05/03/2019. Portavoz de la Comisión Constitucional desde el 12/09/2016 al 05/03/2019. Portavoz de la Comisión de Asuntos Exteriores desde el 13/";;;;;;;;;
"Ricardo, Tarno Blanco";"Hombre";1966,00;"Grupo Popular";"Casado";"No consta";"Sevilla";;;"Diputado. Vocal Suplente de la Diputación Permanente. Presidente de la Delegación española en la Asamblea Parlamentaria de la OTAN. ";;;;;;;;;
"Vicente, Ten Oliver";"Hombre";1966,00;"Grupo Ciudadanos";"Casado";"Licenciado en Ciencias Económicas y Empresariales.  Máster ejecutivo en Gestión de Empresas. Universidad Politécnica. Máster en Tributación en el CEF. Técnico de Hacienda del Estado (en servicios especiales). ";"Valencia";;;"Diputado. Portavoz adjunto de la Comisión de Hacienda desde el 21/06/2018 al 05/03/2019. Portavoz de la Comisión de Presupuestos desde el 13/09/2016 al 05/03/2019. Secretario Segundo de la Comisión de Economía y Empresa desde el 13/09/2018 al 05/03/2019.";;;;;;;;;
"Ana Belén, Terrón Berbel";"Mujer";1983,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)";"Soltera";"Diplomada en Trabajo Social. Trabajadora social. ";"Granada";;;"Diputada. Portavoz del Consejo Ciudadano de Granada. Portavoz adjunta en la Comisión de Servicios Sociales. Vicepresidenta segunda en la Comisión de Cooperación. ";;;;;;;;;
"José Andrés, Torres Mora";"Hombre";1960,00;"Grupo Socialista";"Casado";"Doctor en Sociología. Profesor titular de la Universidad Complutense. ";"Málaga";;;"Diputado.  Miembro Suplente de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP). Portavoz de la Comisión de Cultura y Deporte desde el 21/06/2018 al 05/03/2019. ";;;;;;;;;
"Ignacio, Tremiño Gómez";"Hombre";1966,00;"Grupo Popular";"Casado";"Licenciado en Derecho por la Universidad Oberta de Cataluña. MBA Executive por IE (Instituto de Empresa). Programa de Liderazgo de Gestión Pública (PLGP) del IESE, Universidad de Navarra. ";"Valladolid";;;"Diputado. Director General de Discapacidad del Ministerio de Sanidad, Servicios Sociales e Igualdad. Director del Real Patronato sobre Discapacidad. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1).";;;;;;;;;
"Victoria Begoña, Tundidor Moreno";"Mujer";1963,00;"Grupo Socialista";"Casada";"Diplomada en Enfermería. ";"Málaga";;;"Diputada. Enfermera del Hospital Universitario de Málaga. Delegada territorial de Igualdad, Salud y Política Social. Portavoz de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Ignacio, Urquizu Sancho";"Hombre";1978,00;"Grupo Socialista";"Casado";"Doctor Europeo en Sociología por la Universidad Complutense de Madrid. Profesor de Sociología de la Universidad Complutense. ";"Teruel";;;"Diputado. Miembro de la Ejecutiva Regional del PSOE-Aragón. Colaborador de medios de comunicación ELPAIS, ElDiario.es. Portavoz adjunto de la Comisión de Ciencia, Innovación y Universidades desde el 09/07/2018 al 05/03/2019.";;;;;;;;;
"Carmen, Valido Pérez";"Mujer";1963,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Ingeniera Técnica de Obras Públicas en Construcciones Civiles por la Universidad de Las Palmas. Graduada en Construcciones Civiles por la Universidad de San Antonio de Murcia.";"Las Palmas";;;"Diputada. Delegada de personal Agencia de Protección del Medio Urbano y Natural del Gobierno de Canarias.Portavoz adjunta de la Comisión de Defensa desde el 14/03/2017 al 05/03/2019.";;;;;;;;;
"Silvia, Valmaña Ochaíta";"Mujer";1963,00;"Grupo Popular";"Casada";"Doctora en Derecho. Profesora titular de Derecho Penal (UCLM). ";"Guadalajara";;;"Diputada. Vicesecretaria de Acción Sectorial del Partido Popular de Guadalajara. Vicesecretaria de Acción Política del Partido Popular de Castilla-La Mancha. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1). ";;;;;;;;;
"Ana Belén, Vázquez Blanco";"Mujer";1975,00;"Grupo Popular";"Soltera";"Licenciada en Derecho. Funcionaria del Cuerpo Superior de la Administración Local. ";"Ourense";;;"Diputada. Coordinadora de Participación del PP de Ourense. Miembro del Comité Ejecutivo Provincial y de la Junta Directiva Nacional.";;;;;;;;;
"Josep, Vendrell Gardeñes";"Hombre";1968,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Divorciado";"Licenciado en Geografía e Historia. ";"Barcelona";;;"Diputado. Secretario General de Iniciativa per Catalunya Verds. Vocal de la Diputación Permanente. Portavoz Sustituto de la Junta de Portavoces desde el 26/08/2016 al 05/03/2019.";;;;;;;;;
"Juan Carlos, Vera Pró";"Hombre";1955,00;"Grupo Popular";"Casado";"Licenciado en Derecho por la Universidad Autónoma de Madrid. ";"Madrid";;;"Diputado. Coordinador de Organización del Partido Popular. Secretario General de la Gestora del PP de Madrid. Secretario del Comité Nacional de Derechos y Garantías del PP. Vocal del Comité Ejecutivo Nacional del PP. Vocal Suplente de la Diputación Perman";;;;;;;;;
"Noelia, Vera Ruíz-Herrera";"Mujer";1985,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Licenciada en Periodismo, Universidad Complutense de Madrid. Máster en Periodismo Agencia EFE, Universidad Rey Juan Carlos. ";"Cádiz";;;"Diputada, Vocal de la Diputación Permanente. Portavoz de la Comisión Mixta Control Parlamentario de la Corporación RTVE y sus Sociedades desde el 16/11/2016 al 05/03/2019. ";;;;;;;;;
"Aina, Vidal Saéz";"Mujer";1985,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"No consta";"Barcelona";;;"Diputada. Afiliada a Joves d'Esquerra Verda desde 2005. Miembro del Consejo Nacional de ICV. Afiliada a Comisiones Obreras. Portavoz adjunta de la Comisión de Trabajo, Migraciones y Seguridad Social desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Raimundo, Viejo Viñas";"Hombre";1969,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Divorciado";"Licenciado en Geografía e Historia. Doctor en Ciencias Políticas. Profesor universitario y editor.";"Barcelona";;;"Diputado. Vicepresidente Segundo de la Comisión de Asuntos Exteriores desde el 08/03/2017 al 05/03/2019. ";;;;;;;;;
"Miguel, Vila Gómez";"Hombre";1984,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltero";"Técnico Superior en Imagen. Cámara de TV. Realizador, mezclador, fotógrafo. ";"Burgos";;;"Diputado. Activista de movimientos sociales. Delegado sindical. Consejero Ciudadano de Podemos CM.Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1).";;;;;;;;;
"Celia, Villalobos Talero";"Mujer";1949,00;"Grupo Popular ";"Casada";"Funcionaria";"Málaga";;;"Diputada. Alcaldesa. Ministra. Presidenta de la Comisión de Seguimiento y Evaluación de los Acuerdos Pacto de Toledo desde el 28/09/2016 al 05/03/2019.";;;;;;;;;
"José Manuel, Villegas Pérez";"Hombre";1968,00;"Grupo Ciudadanos";"Casado";"Licenciado en Derecho. Máster en Derecho Concursal por el ICAB. Abogado fiscalista y derecho concursal. ";"Barcelona";;;"Diputado. Vicesecretario General de Ciudadanos.Vocal de la Diputación Permanente. Secretario Primero de la Comisión Constitucional desde el 16/11/2016 al 05/03/2019. Portavoz de la Comisión de Política Territorial y Función Pública desde el 27/06/2018 al ";;;;;;;;;
"Miguel Ángel, Viso Dièguez";"Hombre";1971,00;"Grupo Popular";"Casado";"Ingeniero Técnico Agrícola. Técnico Superior en Prevención de Riesgos Laborales. ";"Ourense";;;"Diputado. Secretario C.O.I.T.A. Ingeniero Técnico en la Xunta de Galicia (medio rural).Vicepresidente Segundo de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Jordi, Xucià i Costa";"Hombre";1973,00;"Grupo Mixto PdeCat";"Casado";"Licenciado en Derecho. Diplomado de tercer grado en Derecho Público. Máster en Seguridad y Política Exterior. Programa de Gestión Pública en IESE. Programa de gestión de Parlamentarios en el Instituto de Empresa (IE. School). Abogado y profesor de Derecho";"Girona";;;"Diputado. Presidente de la Fundació Llibertat i Democràcia (sección catalana de la Internacional Liberal) y Vicepresidente de la Internacional Liberal.Vocal Suplente de la Diputación Permanente. Miembro Suplente de la Delegación española en la Asamblea Pa";;;;;;;;;
"Juan Pedro, Yilanes Suárez";"Hombre";1960,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Divorciado";"Magistrado";"Islas Baleares";;;"Diputado. Vocal Suplente de la Diputación Permanente. Adscrito de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al 05/03/2019. Portavoz de la Comisión calidad democrática, contra corrupción y reform. inst. y leg. desde el 28/09/2016";;;;;;;;;
"José, Zaragoza Alonso";"Hombre";1961,00;"Grupo Socialista";"Divorciado";"No consta";"Barcelona";;;"Diputado. Vocal de la Diputación Permanente.Vicepresidente Primero de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Miembro Titular de la Delegación española en la Asamblea de la Unión Interparlamentaria (UIP).";;;;;;;;;
"Juan Ignacio, Zoido Álvarez";"Hombre";1957,00;"Grupo Popular";"Casado";"Licenciado en Derecho. ";"Sevilla ";;;"Diputado. Ministro del Interior. Magistrado-Juez Decano de Sevilla, años 1992-1996. Vocal de la Diputación Permanente. Presidente de la Comisión de Política Territorial y Función Pública desde el 27/06/2018 al 05/03/2019. ";;;;;;;;;
"Ana María, Zurita Expósito";"Mujer";1963,00;"Grupo Popular";"Casada";"Arquitecto. Especialidad en Edificación y Urbanismo, Gestión del Territorio. Funcionaria de Carrera del Ayuntamiento de Santa Cruz de Tenerife.";"Santa Cruz de Tenerife";;;"Diputada. Consejera del Cabildo de Tenerife. Coordinadora Regional de Infraestructuras, Territorio y Medio Ambiente del PP de Canarias.Portavoz de la Comisión de Fomento desde el 13/09/2016 al 05/03/2019.";;;;;;;;;
"José Luis, Ábalos Mecos";"Hombre";1959,00;"Grupo Socialista";"Casado";"Diplomado en Magisterio. Consultor de Cooperación Internacional. ";"Valencia";;;"Diputado. Secretario General del PSPV-PSOE de la provincia de Valencia. Jefe de Gabinete del Delegado del Gobierno CV (1983-1987). Jefe de Gabinete del Conseller de Trabajo GV (1988-1991). Director Cooperación Internacional GV (1989-1992). Asesor del Ayun";;;;;;;;;
"Alfonso, Alonso Aranegui";"Hombre";1967,00;"Grupo Popular";"Casado";"Licenciado en Derecho. Licenciado en Filología Románica. Abogado.";"Álava";;;"Diputado. Presidente del Partido Popular del País Vasco";;;;;;;;;
"María Carmen, Álvarez-Arenas Cisneros";"Mujer";1948,00;"Grupo Popular";"Viuda";"Empresaria. Máster parlamentario en gestión y dirección de empresas en el Instituto de Empresa.  Máster en Seguridad y Defensa por la Universidad Rey Juan Carlos.";"Madrid";;;"Diputada. Vocal del Consejo Ejecutivo Regional del PP de Madrid. Viceconsejera de Presidencia de la Comunidad de Madrid (1995-1999).Senadora por la Comunidad Autónoma de Madrid (1999-2003). Viceconsejera de Empleo y Mujer de la Comunidad de Madrid (2005-2";;;;;;;;;
"Matilde Pastora, Asian González";"Mujer";1955,00;"Grupo Popular";"No consta";"Inspectora de Hacienda del Estado. Auditora de Cuentas. Miembro del Instituto de Censores Jurados de Cuentas. Máster en Alta Dirección en el Instituto Bravo Murillo. Profesora asociada en la Universidad de Las Palmas.";"Las Palmas";;;"Diputada. Presidenta Zona Especial Canarias. Viceconsejera de Economía y Asuntos Económicos con la Unión Europea en el Gobierno de Canarias. ";;;;;;;;;
"Pedro María, Azpiazu Uriarte";"Hombre";1957,00;"Grupo Vasco ";"Casado";"Licenciado en Ciencias Económicas ";"Bizkaia";;;"Diputado. Portavoz de la Comisión de Hacienda y Administraciones Públicas desde el 13/09/2016 al 28/11/2016. Portavoz de la Comisión de Industria, Energía y Turismo desde el 14/09/2016 al 28/11/2016.";;;;;;;;;
"Meritxell, Batet Lamaña";"Mujer";1973,00;"Grupo Socialista";"No consta";"Licenciada en Derecho y cursos de doctorado en Derecho Público en la Universitat Pompeu Fabra. Postgrado en Derecho Inmobiliario y Urbanístico (IDEC). Profesora de Derecho Constitucional en la Universitat Pompeu Fabra.";"Barcelona";;;"Diputada. Ministra de Política Territorial y Función Pública desde el 7 de junio de 2018.";;;;;;;;;
"Francisco Martín, Bernabé Pérez";"Hombre";1970,00;"Grupo Popular";"Casado";"Licenciado en Derecho por la Universidad de Murcia (1988-1993). Master en Práctica Jurídica por la Universidad de Murcia (1993-1995). Master en Asesoría Jurídica de Empresas por ENAE Business School (1995-1996) Diplomado en lengua inglesa por la Universid";"Murcia";;;"Diputado. Alcalde del municipio de La Unión (2007-2014) Consejero de Fomento e Infraestructuras de la Región de Murcia (2014-2016) Diputado en la Asamblea Regional de Murcia (2015). Vocal de la Comisión Nacional de Medio Ambiente de la Federación Española";;;;;;;;;
"Ana María, Botella Gómez ";"Mujer";1958,00;"Grupo Socialista";"No consta";"Licenciada en Geografía e Historia, Universidad de Valencia, con Premio Extraordinario de Licenciatura (1980). Diplomada en Comercio Exterior (1984, UNED, Madrid). Máster en Dirección y Gerencia Pública (1995-1997), Universidad Politécnica de Valencia). E";"Valencia";;;"Diputada. Concejal del Ayuntamiento de Valencia (2007-2010). Delegada del Gobierno en la Comunitat Valenciana (2010-2011). Secretaria de Sectores Productivos y Empleo de la Comisión Ejecutiva Nacional del PSPV-PSOE. Vicepresidenta Primera de la Comisión d";;;;;;;;;
"Juan, Bravo Baena";"Hombre";1974,00;"Grupo Popular";"Casado";"Licenciado en Derecho. Suficiencia investigadora. Oposiciones (Agente de la Hacienda Pública, Cuerpo Técnico de Hacienda, Cuerpo Superior de Inspectores de Hacienda del Estado). Funcionario de la Agencia Tributaria. ";"Ceuta";;;"Diputado. Delegado de la AEAT en Ceuta y Delegado del Ministerio de Hacienda en Ceuta.Portavoz de la Comisión de Economía y Empresa desde el 21/06/2018 al 09/07/2018.";;;;;;;;;
"Tomás, Burgos Gallego";"Hombre";1962,00;"Grupo Popular";"Soltero";"No consta";"Valladolid";;;"Diputado. Procurador Regional de las Cortes de Castilla y León (1987-1993). Secretario de Estado de la Seguridad Social (2012-2016).";;;;;;;;;
"Eloísa María, Cabrera Carmona";"Mujer";1971,00;"Grupo Popular";"No consta";"Estudios en Derecho. Empleada por cuenta ajena.  ";"Almería";;;"Diputada. Concejal del Ayuntamiento de Roquetas del Mar desde 1999. En la actualidad, Primer Teniente de Alcalde. Portavoz adjunta de la Comisión de Industria, Energía y Turismo desde el 14/09/2016 al 28/11/2016.";;;;;;;;;
"Alfonso, Candón Adán";"Hombre";1969,00;"Grupo Popular";"Casado ";"Graduado Social. Universidad de Cádiz. ";"Cádiz";;;"Diputado. Presidente del PP del Puerto de Santa María. Vicesecretario Provincial de Ideas y Programas. Secretario PP autonómico de ONG's. 
Portavoz adjunto en la Comisión de Defensa en la X Legislatura.";;;;;;;;;
"Ester, Capella i Farré";"Mujer";1963,00;"Grupo Esquerra Republicana";"No consta";"Licenciada en Derecho. Abogada.";"Barcelona";;;"Diputada.Vocal Suplente de la Diputación Permanente desde el 18/08/2016. al 01/06/2018. Portavoz de la Comisión de Justicia desde el 13/09/2016 al 01/06/2018. Secretaria Segunda de la Comisión de Justicia desde el 13/09/2016 al 01/06/2018. Adscrita de la ";;;;;;;;;
"María Dolores, de Cospedal García";"Mujer";1965,00;"Grupo Popular";"Casada";"Licenciada en Derecho. Abogado del Estado. ";"Toledo";;;"Diputada. Presidenta de la Junta de Comunidades de Castilla La-Mancha. Diputada autonómica en las Cortes de Castilla La-Mancha en tres legislaturas. Representante del Estado español en la elaboración del Código de Derecho Administrativo. Ministra de Defen";;;;;;;;;
"Francesc Xavier, Domenech Sampere";"Hombre";1974,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM) ";"No consta";"Doctor y Profesor de Historia de la Universidad Autónoma de Barcelona.";"Barcelona";;;"Diputado. Portavoz adjunto de la Junta de Portavoces desde el 02/08/2016 al 17/01/2018. Portavoz adjunto de la Comisión Constitucional desde el 12/09/2016 al 17/01/2018";;;;;;;;;
