"NOMBRE";"SEXO";"AÑO DE NACIMIENTO";"G PARLAMENTARIO";"ECIVIL";"NIVEL ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"Campo11";"Campo12";"Campo13";"Campo14";"Campo15";"Campo16";"Campo17";"Campo18";"Campo19"
"Antonio, Hurtado Zurera";"Hombre";1961,00;"Grupo Socialista";"Soltero";"Licenciado en Ciencias Económicas y Empresariales. Funcionario Administración Especial - Economista.";"Córdoba";;;"Diputado. Vicepresidente Primero de la Comisión de Presupuestos desde el 13/09/2016 al 05/03/2019. ";;;;;;;;;
"Francisco, Igea Arisqueta";"Hombre";1964,00;"Grupo Ciudadanos";"Casado";"Licenciado en Medicina y Cirugía. Especialista Digestivo. ";"Valladolid";;;"Diputado. Portavoz de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019. Secretario Primero de la Comisión para las Políticas Integrales de la Discapacidad desde el 28/09/2016 al 05/03/2019.";;;;;;;;;
"Pablo, Iglesias Turrión";"Hombre";1978,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltero";"Doctor en Ciencias Políticas por la Universidad Complutense de Madrid. Máster en Comunicación por la Universidad Carlos III. Máster of Arts in Communication por la European Graduate School. Licenciado en ciencias Políticas por la Universidad Complutense d";"Madrid";;;"Diputado. Miembro de Podemos desde su fundación. Militante y activista social desde 1993.Vocal de la Diputación Permanente.";;;;;;;;;
"Juan, Jiménez Tortosa";"Hombre ";1958,00;"Grupo Socialista";"Casado";"Licenciado en Psicología. Profesor de Enseñanza Secundaria. ";"Almería";;;"Diputado. Alcalde del Ayuntamiento de Benahadux. Secretario Primero de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Juan Manuel, Juncal Rodríguez";"Hombre";1958,00;"Grupo Popular";"Casado";"Licenciado en Economía. Auditor de Cuentas. ";"A Coruña";;;"Diputado. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria de la OTAN.";;;;;;;;;
"Marc, Lamuà Estañol";"Hombre";1980,00;"Grupo Socialista";"Casado";"Doctor en Arqueología. Máster universitario en Formación del Profesorado de Secundaria. Licenciado en Historia. Licenciado en Historia del Arte. ";"Girona";;;"Diputado. Secretario de Organización PSC Comarques Gironines.Miembro de la Delegación española en la Asamblea Parlamentaria de la Unión para el Mediterráneo. Vicepresidente Primero de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al";;;;;;;;;
"Maria Teresa de, Lara Carbó";"Mujer";1942,00;"Grupo Popuar";"Divorciada";"Licenciada en Química. 
Estadística Superior. Rama Investigación Operativa.  Diplomada en Economía. ";"Madrid";;;"Diputada. Presidenta de la Comisión de Medio Ambiente y Cambio Climático del PP.";;;;;;;;;
"José Javier, Lasarte Iribarren";"Hombre";1961,00;"Grupo Socialista";"Casado";"Licenciado en Ciencias Económicas, especialidad Matemática, por la Universidad del País Vasco-Sarriko (UPV-EHU). MBA por las universidades de Deusto, Ecole de Commerce de Nantes y Strathclyde University (Glasgow).";"Álava";;;"Diputado.  Jefe de Servicio de Desarrollo Económico de la Diputación Foral de Álava. Secretario de Economía, Industria y Energía de la Comisión Ejecutiva del Partido Socialista de Euskadi (PSE-EE PSOE).";;;;;;;;;
"Adriana, Lastra Fernández";"Mujer";1979,00;"Grupo Socialista";"Casada";"No consta";"Asturias";;;"Diputada. Vocal de la Diputación Permanente.";;;;;;;;;
"Mikel, Legarda Uriarte";"Hombre";1956,00;"Grupo Vasco EZJ-PNV ";"Casado";"Licenciado en Derecho por la Universidad de Deusto. Funcionario de Carrera. Letrado de los Servicios Jurídicos Centrales del Gobierno Vasco. ";"Álava";;;"Diputado. Director de Desarrollo Autonómico y Transferencias del Gobierno Vasco. 
Viceconsejero de Seguridad del Gobierno Vasco. Asesor de Asuntos Constitucionales y Asesor de Asuntos Parlamentarios. Vocal de la Diputación Permanente.Ponente de la Ponenci";;;;;;;;;
